               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11149,            0.058671,             0.10654,                   0,                   0,                   0,                   0,             0.10565,             0.03916,             0.10308,            0.070476,           0.0032804,           0.0032804
                   1,              0.1085,            0.059074,             0.10544,          0.00032307,          0.00029262,          0.00016609,          5.2526e-05,             0.10486,            0.039999,             0.10488,            0.040454,           0.0065919,           0.0065919
                   2,             0.10515,             0.06128,             0.10382,          0.00055286,            0.002243,          0.00028933,          9.4643e-05,                 nan,                 nan,              1.6575,            0.010411,           0.0098814,           0.0098814
                   3,             0.10193,             0.06301,               0.102,          5.2587e-05,          1.1599e-05,          2.6932e-05,          1.2026e-05,             0.10025,            0.042036,             0.10225,            0.009901,            0.009901,            0.009901
                   4,             0.10003,             0.06457,            0.099342,          0.00017187,           0.0028999,           9.528e-05,          2.4156e-05,                 nan,                 nan,              0.1945,            0.009901,            0.009901,            0.009901
                   5,            0.098493,            0.064551,            0.092027,             0.37506,           0.0013431,          5.5234e-05,          1.4175e-05,            0.097715,            0.043776,             0.08768,            0.009868,            0.009868,            0.009868
                   6,            0.095916,            0.064168,            0.086062,             0.45009,           0.0036281,          0.00010616,          2.2974e-05,            0.097338,            0.052368,            0.084637,            0.009835,            0.009835,            0.009835
                   7,            0.094145,            0.065405,            0.083613,           0.0088249,           0.0073455,           0.0045861,           0.0010483,            0.094383,            0.043983,            0.082364,            0.009802,            0.009802,            0.009802
                   8,            0.091586,            0.065341,            0.082328,           0.0029737,             0.01128,           0.0017114,          0.00069863,            0.096444,            0.043508,            0.082188,            0.009769,            0.009769,            0.009769
                   9,             0.08984,            0.066176,            0.081253,           0.0037965,            0.016044,           0.0026556,           0.0010419,            0.091017,            0.044741,            0.080971,            0.009736,            0.009736,            0.009736
                  10,            0.087453,            0.065338,            0.082293,            0.002965,             0.03603,           0.0024529,           0.0008311,            0.089173,            0.042705,            0.080916,            0.009703,            0.009703,            0.009703
                  11,            0.086574,            0.066692,            0.080965,           0.0028873,            0.041241,            0.002759,           0.0009559,            0.087535,            0.042804,              0.0799,             0.00967,             0.00967,             0.00967
                  12,             0.08515,            0.067183,            0.079767,           0.0032881,            0.060924,           0.0034568,             0.00115,            0.085839,            0.042723,            0.079462,            0.009637,            0.009637,            0.009637
                  13,            0.083391,            0.067675,            0.079553,           0.0028906,            0.082735,           0.0040463,           0.0013548,            0.085571,            0.042609,            0.079099,            0.009604,            0.009604,            0.009604
                  14,            0.082713,            0.066236,            0.078079,           0.0031641,            0.099233,           0.0042491,           0.0014335,            0.084945,            0.042567,            0.078716,            0.009571,            0.009571,            0.009571
                  15,            0.082351,            0.067061,            0.078058,           0.0031385,             0.08459,           0.0038689,           0.0013187,            0.084336,            0.043309,            0.078276,            0.009538,            0.009538,            0.009538
                  16,            0.081512,            0.066339,            0.077104,           0.0036996,             0.10602,           0.0061046,           0.0020104,              0.0835,             0.04238,            0.077828,            0.009505,            0.009505,            0.009505
                  17,            0.080806,            0.067565,            0.077603,           0.0035022,             0.11218,           0.0056022,           0.0019492,            0.083028,            0.043169,            0.077382,            0.009472,            0.009472,            0.009472
                  18,            0.080825,            0.068309,            0.077488,           0.0039274,             0.10214,           0.0057565,           0.0019891,            0.082327,             0.04413,             0.07752,            0.009439,            0.009439,            0.009439
                  19,            0.079676,            0.065542,            0.076102,           0.0037034,             0.10464,           0.0058417,           0.0020368,            0.082993,            0.042871,            0.076824,            0.009406,            0.009406,            0.009406
                  20,            0.079126,            0.066039,            0.076336,           0.0042827,             0.13374,           0.0072461,           0.0025334,            0.080796,            0.042875,            0.076429,            0.009373,            0.009373,            0.009373
                  21,            0.078345,            0.067026,            0.076437,           0.0043334,             0.13921,           0.0091737,           0.0032893,            0.079737,            0.043189,            0.075391,             0.00934,             0.00934,             0.00934
                  22,            0.077661,            0.064238,            0.076124,             0.48827,            0.046076,            0.008645,           0.0031026,             0.08016,            0.042895,            0.075178,            0.009307,            0.009307,            0.009307
                  23,            0.077485,            0.066284,            0.075599,           0.0041908,             0.14428,           0.0086151,           0.0030267,            0.079509,            0.042789,            0.074874,            0.009274,            0.009274,            0.009274
                  24,            0.076567,             0.06449,            0.075133,             0.82333,            0.014334,            0.009091,           0.0032599,            0.080129,            0.043706,            0.074887,            0.009241,            0.009241,            0.009241
                  25,            0.076827,            0.066439,            0.073884,             0.64158,            0.022531,            0.010096,           0.0034243,            0.080575,             0.04287,            0.074042,            0.009208,            0.009208,            0.009208
                  26,            0.076092,            0.064689,            0.073795,             0.72648,            0.020212,            0.010502,           0.0038269,            0.080322,            0.042188,            0.073772,            0.009175,            0.009175,            0.009175
                  27,            0.076402,             0.06483,            0.073105,             0.60942,            0.021315,            0.010003,           0.0036031,            0.080029,            0.042737,            0.073789,            0.009142,            0.009142,            0.009142
                  28,            0.075624,            0.067147,            0.073104,             0.74098,            0.022294,            0.012934,           0.0046802,            0.078975,             0.04239,             0.07329,            0.009109,            0.009109,            0.009109
                  29,            0.075816,            0.064084,            0.072812,             0.62069,            0.026417,            0.015063,           0.0056013,            0.077411,             0.04399,            0.072304,            0.009076,            0.009076,            0.009076
                  30,            0.075131,            0.066118,            0.071864,             0.62423,            0.034333,            0.015159,           0.0053949,            0.077476,            0.043042,            0.071889,            0.009043,            0.009043,            0.009043
                  31,            0.074291,            0.062494,            0.071684,             0.63293,            0.027015,            0.014983,           0.0055058,            0.077282,            0.043063,            0.072562,             0.00901,             0.00901,             0.00901
                  32,            0.074494,            0.063733,            0.071622,             0.59425,            0.031061,            0.013917,           0.0053195,             0.07819,             0.04288,            0.072788,            0.008977,            0.008977,            0.008977
                  33,            0.073514,            0.064327,            0.071356,             0.64468,             0.03095,            0.018459,           0.0071838,            0.077077,            0.042677,            0.071009,            0.008944,            0.008944,            0.008944
                  34,            0.073761,            0.063738,            0.071302,             0.61988,            0.030764,            0.018179,           0.0065057,            0.076989,            0.042436,              0.0714,            0.008911,            0.008911,            0.008911
                  35,            0.073522,            0.063022,            0.069697,             0.65425,             0.03807,            0.021353,           0.0080519,            0.076441,             0.04221,            0.070827,            0.008878,            0.008878,            0.008878
                  36,            0.073018,            0.062421,            0.069333,             0.59776,            0.036977,             0.02153,           0.0080134,            0.076263,            0.042363,            0.070316,            0.008845,            0.008845,            0.008845
                  37,            0.072807,            0.063555,            0.069611,              0.5833,            0.036868,            0.020637,           0.0076397,             0.07639,            0.042425,            0.069979,            0.008812,            0.008812,            0.008812
                  38,            0.072566,            0.064853,            0.068701,             0.61551,             0.03938,            0.021683,           0.0083853,            0.077005,            0.042214,            0.069731,            0.008779,            0.008779,            0.008779
                  39,            0.072419,            0.061954,            0.067957,             0.55322,            0.044937,            0.021538,           0.0079537,            0.075989,            0.042678,            0.069418,            0.008746,            0.008746,            0.008746
                  40,            0.072577,            0.064234,            0.067329,             0.54796,            0.040897,            0.020964,           0.0080459,            0.076518,            0.042395,            0.069201,            0.008713,            0.008713,            0.008713
