               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1064,            0.080768,             0.10494,                   0,                   0,                   0,                   0,            0.099315,            0.061778,              0.1023,            0.070476,           0.0032804,           0.0032804
                   1,             0.10074,            0.087005,             0.10196,          0.00012489,           0.0050098,          6.6921e-05,          1.7448e-05,             0.10821,            0.054855,             0.13365,            0.040454,           0.0065919,           0.0065919
                   2,             0.09922,            0.088685,            0.099554,            0.088073,           0.0036538,          0.00018378,          4.2202e-05,             0.10828,             0.05514,             0.13052,            0.010411,           0.0098814,           0.0098814
                   3,            0.098235,            0.084926,            0.093844,          0.00011649,           0.0015002,          6.0223e-05,          2.2858e-05,             0.10162,            0.085045,             0.10078,            0.009901,            0.009901,            0.009901
                   4,            0.096565,            0.084304,            0.086094,             0.18754,           0.0050803,          6.7004e-05,          1.5122e-05,            0.096661,            0.071517,            0.087109,            0.009901,            0.009901,            0.009901
                   5,            0.094093,            0.087367,            0.084137,          0.00043096,           0.0058075,          0.00029173,          6.4202e-05,            0.094196,            0.069116,            0.083335,            0.009868,            0.009868,            0.009868
                   6,            0.092948,            0.087006,            0.083333,            0.012674,           0.0067562,           0.0064391,          0.00067595,            0.092539,            0.066589,            0.081731,            0.009835,            0.009835,            0.009835
                   7,            0.091378,            0.088696,            0.082163,             0.62513,           0.0050861,           0.0010871,          0.00049685,            0.090806,            0.068864,            0.081429,            0.009802,            0.009802,            0.009802
                   8,            0.088959,            0.088538,            0.081539,           0.0040318,           0.0094872,           0.0023788,          0.00075726,            0.090132,             0.06624,            0.081027,            0.009769,            0.009769,            0.009769
                   9,            0.088203,            0.088852,            0.080419,           0.0028282,           0.0099355,           0.0017314,          0.00050105,            0.089215,            0.066696,            0.080464,            0.009736,            0.009736,            0.009736
                  10,            0.086096,            0.087735,            0.081997,           0.0019344,            0.015196,            0.001464,          0.00055234,            0.087574,            0.063958,            0.080543,            0.009703,            0.009703,            0.009703
                  11,              0.0858,            0.089161,            0.080498,           0.0033159,            0.018881,           0.0021881,           0.0007026,            0.086898,            0.066488,            0.079617,             0.00967,             0.00967,             0.00967
                  12,            0.084244,            0.090229,            0.079469,           0.0021522,            0.030065,           0.0019693,          0.00068063,            0.085737,            0.065004,            0.079489,            0.009637,            0.009637,            0.009637
                  13,            0.082936,            0.090813,            0.079319,           0.0032821,            0.042538,           0.0024233,          0.00086486,            0.089507,            0.063748,            0.080555,            0.009604,            0.009604,            0.009604
                  14,            0.082599,            0.088687,            0.078223,           0.0035563,            0.040577,           0.0030455,           0.0010101,            0.083309,            0.063779,            0.078304,            0.009571,            0.009571,            0.009571
                  15,            0.081657,             0.08943,            0.078302,           0.0027097,            0.044437,           0.0025328,          0.00094012,            0.084072,            0.065801,            0.078554,            0.009538,            0.009538,            0.009538
                  16,            0.081093,            0.089271,            0.077279,           0.0035581,             0.05049,           0.0035088,           0.0011707,            0.082621,            0.064503,            0.077853,            0.009505,            0.009505,            0.009505
                  17,            0.080109,            0.089933,             0.07786,           0.0033168,            0.082111,           0.0034941,           0.0012159,              0.0827,            0.063741,            0.077917,            0.009472,            0.009472,            0.009472
                  18,            0.080423,            0.090542,             0.07763,           0.0033722,            0.074584,            0.003788,           0.0014228,            0.081992,            0.064265,             0.07806,            0.009439,            0.009439,            0.009439
                  19,            0.078531,            0.087458,            0.076236,           0.0034091,            0.065741,           0.0037991,           0.0013188,            0.080674,            0.065156,            0.076762,            0.009406,            0.009406,            0.009406
                  20,            0.078401,            0.088235,            0.076664,            0.004009,            0.096187,           0.0056972,           0.0020034,            0.079824,             0.06581,            0.076277,            0.009373,            0.009373,            0.009373
                  21,            0.077863,            0.089702,             0.07667,           0.0042721,            0.095257,           0.0064127,           0.0022832,            0.078882,            0.065327,            0.075481,             0.00934,             0.00934,             0.00934
                  22,            0.076811,             0.08602,            0.076105,           0.0039903,             0.11373,            0.005651,           0.0020883,            0.079053,             0.06446,            0.075277,            0.009307,            0.009307,            0.009307
                  23,            0.076682,            0.088338,            0.075521,           0.0046185,             0.12872,            0.006933,           0.0024547,            0.077912,             0.06385,            0.074547,            0.009274,            0.009274,            0.009274
                  24,            0.076146,            0.085874,            0.074987,           0.0048976,             0.12882,           0.0076607,           0.0028733,            0.078273,             0.06474,            0.074252,            0.009241,            0.009241,            0.009241
                  25,            0.075692,            0.088751,            0.073752,           0.0046611,             0.13386,           0.0070985,           0.0025311,             0.07805,            0.063613,            0.073704,            0.009208,            0.009208,            0.009208
                  26,            0.075625,            0.086461,            0.073568,             0.13431,            0.089281,           0.0089593,           0.0032381,            0.078414,            0.063759,            0.073488,            0.009175,            0.009175,            0.009175
                  27,            0.075749,            0.086452,            0.072594,           0.0045558,            0.097789,            0.006884,           0.0023787,            0.079918,            0.068847,             0.07334,            0.009142,            0.009142,            0.009142
                  28,            0.074852,            0.089458,            0.072823,             0.20037,            0.071917,           0.0098162,           0.0036055,            0.077885,             0.06403,            0.073191,            0.009109,            0.009109,            0.009109
                  29,            0.075066,             0.08566,            0.072357,            0.070034,             0.12189,            0.010346,           0.0038139,            0.076604,            0.063916,            0.072329,            0.009076,            0.009076,            0.009076
                  30,             0.07359,            0.088656,            0.071287,             0.54428,            0.025934,            0.011931,           0.0042679,            0.075666,            0.065032,            0.071045,            0.009043,            0.009043,            0.009043
                  31,            0.073679,            0.083644,            0.071041,             0.57998,            0.024124,            0.012983,           0.0046736,            0.075501,            0.065937,            0.071141,             0.00901,             0.00901,             0.00901
                  32,            0.073592,            0.084719,            0.071065,             0.48961,            0.024189,            0.010819,           0.0040152,            0.076839,            0.064779,            0.071939,            0.008977,            0.008977,            0.008977
                  33,            0.072489,            0.086008,            0.070759,             0.59388,            0.024346,            0.014516,           0.0053297,            0.076478,            0.063409,            0.070742,            0.008944,            0.008944,            0.008944
                  34,            0.072725,            0.085482,            0.070526,             0.61494,            0.027338,            0.015481,           0.0055521,            0.075549,            0.065472,            0.070762,            0.008911,            0.008911,            0.008911
                  35,            0.073177,            0.083736,            0.068817,             0.60194,             0.02313,            0.015291,           0.0053744,             0.07665,            0.063033,            0.069851,            0.008878,            0.008878,            0.008878
                  36,            0.071781,            0.083558,            0.068411,             0.54178,            0.030597,            0.016461,           0.0059814,            0.075484,            0.063588,            0.069166,            0.008845,            0.008845,            0.008845
                  37,            0.071524,            0.084553,            0.068662,              0.5617,             0.03049,            0.017222,           0.0062792,            0.074809,            0.063106,            0.068742,            0.008812,            0.008812,            0.008812
                  38,            0.071865,            0.086343,            0.068062,             0.53757,            0.039108,            0.018435,           0.0067574,            0.074719,            0.063834,            0.068546,            0.008779,            0.008779,            0.008779
                  39,            0.071204,             0.08299,            0.066926,             0.52776,             0.03832,            0.018519,           0.0070616,             0.07469,            0.063929,            0.068721,            0.008746,            0.008746,            0.008746
                  40,            0.071693,            0.085753,            0.066582,             0.52598,            0.030862,            0.016137,           0.0058865,            0.074837,            0.063452,            0.068729,            0.008713,            0.008713,            0.008713
                  41,            0.071602,            0.085244,            0.067373,             0.50396,              0.0425,            0.019382,           0.0071716,              0.0737,            0.064249,            0.067461,             0.00868,             0.00868,             0.00868
                  42,            0.071146,            0.084625,            0.065272,             0.53143,            0.035948,            0.018646,           0.0067026,            0.074991,            0.063837,            0.068453,            0.008647,            0.008647,            0.008647
                  43,            0.070999,             0.08282,            0.066369,             0.51212,            0.038125,            0.021693,           0.0079258,            0.073777,            0.063407,            0.067296,            0.008614,            0.008614,            0.008614
                  44,            0.070371,            0.083136,            0.065115,             0.48871,            0.039725,            0.019906,           0.0073374,            0.074385,            0.063648,            0.066959,            0.008581,            0.008581,            0.008581
                  45,            0.070475,            0.083531,            0.064597,             0.54112,            0.041121,            0.022297,           0.0082232,            0.074108,            0.063966,             0.06686,            0.008548,            0.008548,            0.008548
                  46,            0.070289,            0.083174,            0.065878,             0.49525,            0.048118,            0.022373,           0.0084178,            0.073278,            0.063977,            0.066502,            0.008515,            0.008515,            0.008515
                  47,            0.069323,            0.085877,            0.064588,             0.44777,            0.047049,            0.021999,           0.0082341,            0.073644,            0.063844,            0.066625,            0.008482,            0.008482,            0.008482
                  48,            0.069098,            0.083572,            0.063546,             0.45079,            0.043021,              0.0248,           0.0092973,             0.07349,            0.063363,            0.066253,            0.008449,            0.008449,            0.008449
                  49,             0.06932,            0.084457,            0.063085,             0.50962,            0.048328,            0.022887,           0.0085651,            0.073029,            0.063899,            0.065322,            0.008416,            0.008416,            0.008416
                  50,            0.069489,            0.083566,            0.063324,               0.484,            0.049455,            0.024145,           0.0089044,            0.073944,            0.064406,            0.065987,            0.008383,            0.008383,            0.008383
                  51,            0.068803,            0.081445,            0.062223,               0.468,            0.050044,            0.022758,           0.0082335,            0.074395,            0.065135,             0.06651,             0.00835,             0.00835,             0.00835
                  52,            0.067862,            0.083589,            0.062573,             0.43305,            0.055944,            0.026277,           0.0095919,            0.073203,            0.063906,            0.064659,            0.008317,            0.008317,            0.008317
                  53,            0.068505,            0.083344,             0.06193,             0.43585,             0.05058,            0.025425,           0.0093613,            0.072903,            0.064816,            0.064532,            0.008284,            0.008284,            0.008284
                  54,             0.06818,            0.083408,            0.061015,             0.45521,            0.055944,            0.027042,            0.010116,            0.072418,            0.065209,            0.064357,            0.008251,            0.008251,            0.008251
                  55,            0.068175,            0.082063,            0.061456,             0.37156,            0.054069,            0.026046,           0.0097123,            0.072962,            0.063922,            0.064785,            0.008218,            0.008218,            0.008218
                  56,             0.06807,            0.084307,            0.060724,             0.44132,            0.049312,            0.027258,            0.010425,            0.072967,            0.063928,            0.064865,            0.008185,            0.008185,            0.008185
                  57,            0.067059,            0.080287,            0.060036,             0.39012,            0.055882,            0.027043,            0.010123,            0.073302,            0.063504,            0.065244,            0.008152,            0.008152,            0.008152
                  58,            0.067371,            0.082676,            0.060061,             0.38163,            0.053705,            0.029676,            0.011061,            0.072751,            0.064728,            0.063828,            0.008119,            0.008119,            0.008119
                  59,            0.067637,            0.081607,            0.058616,             0.37616,            0.057249,            0.029984,             0.01079,            0.073973,            0.063908,            0.064552,            0.008086,            0.008086,            0.008086
                  60,            0.067057,             0.08005,            0.059917,              0.3752,            0.063062,             0.03145,            0.011865,            0.072387,            0.064529,            0.063706,            0.008053,            0.008053,            0.008053
                  61,            0.066955,            0.082231,            0.058829,             0.38065,            0.060849,            0.033213,            0.012708,            0.072459,            0.063744,             0.06378,             0.00802,             0.00802,             0.00802
                  62,            0.066856,             0.08052,            0.058498,             0.39986,            0.057482,            0.032383,            0.011849,            0.072838,             0.06394,            0.063795,            0.007987,            0.007987,            0.007987
                  63,            0.066841,             0.08112,            0.057247,             0.37745,            0.066921,             0.03299,            0.012505,             0.07231,            0.063834,             0.06323,            0.007954,            0.007954,            0.007954
                  64,            0.066785,            0.080831,            0.058382,             0.33426,            0.065192,            0.031712,             0.01225,            0.072445,            0.063976,             0.06334,            0.007921,            0.007921,            0.007921
                  65,            0.066899,            0.079237,            0.056532,             0.36808,             0.07037,            0.036422,            0.014114,            0.072133,             0.06417,            0.062284,            0.007888,            0.007888,            0.007888
                  66,            0.066137,            0.078913,             0.05774,             0.35453,            0.063232,            0.033359,            0.012856,            0.072228,             0.06466,            0.063416,            0.007855,            0.007855,            0.007855
                  67,            0.065937,            0.079618,            0.056555,             0.36906,            0.065792,            0.034475,            0.013135,             0.07255,            0.064199,            0.063139,            0.007822,            0.007822,            0.007822
                  68,            0.066261,            0.078791,            0.056839,             0.37265,            0.064979,            0.035715,            0.013257,            0.073536,            0.064143,            0.063345,            0.007789,            0.007789,            0.007789
                  69,            0.066524,            0.079193,            0.054934,             0.36299,            0.068302,            0.034927,            0.013696,            0.072416,            0.063992,             0.06255,            0.007756,            0.007756,            0.007756
                  70,            0.065655,            0.079447,            0.055386,             0.38423,            0.058691,             0.03469,            0.013647,            0.072629,            0.065283,            0.063282,            0.007723,            0.007723,            0.007723
                  71,            0.065359,            0.080629,            0.055408,             0.38927,            0.065229,            0.036954,            0.014227,            0.072065,            0.064351,            0.062109,             0.00769,             0.00769,             0.00769
                  72,            0.065451,             0.07842,            0.054501,             0.37506,            0.074243,            0.040522,             0.01555,            0.072052,            0.064506,            0.062073,            0.007657,            0.007657,            0.007657
                  73,            0.065229,            0.079129,            0.053268,             0.38729,            0.071532,            0.039564,            0.015132,            0.072703,            0.063823,            0.062645,            0.007624,            0.007624,            0.007624
                  74,            0.065722,             0.07877,            0.054363,             0.37019,            0.067437,             0.03733,             0.01432,            0.072491,            0.064174,            0.061813,            0.007591,            0.007591,            0.007591
                  75,            0.064805,            0.078883,             0.05361,             0.34664,            0.072126,            0.036308,            0.013354,            0.072529,            0.065461,            0.061196,            0.007558,            0.007558,            0.007558
                  76,            0.065171,            0.078134,            0.053025,             0.29801,            0.069957,            0.037623,            0.014488,            0.072205,            0.064365,            0.061479,            0.007525,            0.007525,            0.007525
                  77,            0.064607,            0.076973,            0.051907,             0.31495,            0.076738,            0.041243,            0.016204,            0.071876,            0.064537,             0.06138,            0.007492,            0.007492,            0.007492
                  78,            0.064649,            0.079532,            0.051769,             0.34117,            0.078242,             0.04317,            0.016936,            0.072078,            0.064436,            0.060822,            0.007459,            0.007459,            0.007459
                  79,            0.063544,            0.077698,            0.051666,             0.33275,            0.073592,            0.038498,            0.014591,            0.072855,            0.064938,            0.061134,            0.007426,            0.007426,            0.007426
                  80,            0.064781,            0.077142,            0.052178,             0.32051,             0.07292,            0.040521,            0.015042,            0.072539,            0.064673,            0.061437,            0.007393,            0.007393,            0.007393
                  81,            0.064456,            0.078619,             0.05154,             0.30229,            0.076021,            0.041521,            0.015929,            0.072759,            0.064516,            0.061158,             0.00736,             0.00736,             0.00736
                  82,            0.064791,             0.07865,            0.050772,             0.28707,            0.074694,            0.044065,            0.016742,            0.072382,            0.064856,            0.060753,            0.007327,            0.007327,            0.007327
                  83,            0.063923,             0.07646,            0.051164,             0.34691,            0.080498,            0.045683,            0.017902,            0.071318,            0.064782,            0.059781,            0.007294,            0.007294,            0.007294
                  84,            0.063408,            0.078321,            0.050694,             0.31437,            0.078279,            0.045303,            0.017148,            0.071912,            0.064891,            0.060633,            0.007261,            0.007261,            0.007261
                  85,            0.063545,            0.077622,            0.049665,             0.29779,            0.075457,            0.044194,            0.016584,            0.072727,            0.064754,            0.060865,            0.007228,            0.007228,            0.007228
                  86,            0.063759,            0.077108,            0.049032,             0.29117,            0.082073,            0.045417,            0.017137,            0.072338,            0.064625,            0.060236,            0.007195,            0.007195,            0.007195
