               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10877,            0.078288,             0.10665,                   0,                   0,                   0,                   0,             0.10419,             0.05684,             0.10325,            0.070476,           0.0032804,           0.0032804
                   1,             0.10736,            0.078868,             0.10634,          0.00085913,           0.0013259,          0.00044002,          0.00012263,             0.10446,            0.056636,             0.10455,            0.040454,           0.0065919,           0.0065919
                   2,             0.10578,            0.080524,             0.10483,          0.00010492,           0.0014056,          5.0452e-05,          1.3791e-05,                 nan,                 nan,              5.0639,            0.010411,           0.0098814,           0.0098814
                   3,             0.10214,            0.083214,             0.10258,          0.00070438,           0.0001516,          0.00036619,          7.3203e-05,                 nan,                 nan,              49.576,            0.009901,            0.009901,            0.009901
                   4,            0.099272,            0.086965,            0.099287,          0.00017991,           0.0026656,          9.4133e-05,          3.6895e-05,                 nan,                 nan,             0.92624,            0.009901,            0.009901,            0.009901
                   5,            0.097791,            0.090472,             0.09419,          8.0299e-05,           0.0039185,           4.831e-05,          1.1475e-05,            0.098486,            0.061706,            0.091972,            0.009868,            0.009868,            0.009868
                   6,            0.097429,            0.087947,            0.088693,          2.9892e-05,           0.0041605,          3.3989e-05,           8.199e-06,              0.0985,            0.073795,             0.08485,            0.009835,            0.009835,            0.009835
                   7,            0.095811,            0.087002,            0.084011,              0.1128,           0.0048669,          6.2944e-05,          1.4289e-05,            0.095327,            0.068518,            0.083846,            0.009802,            0.009802,            0.009802
                   8,            0.093519,            0.086698,            0.082749,          2.8052e-05,           0.0039041,          2.7588e-05,          6.7958e-06,             0.09507,            0.083395,            0.082594,            0.009769,            0.009769,            0.009769
                   9,            0.091868,            0.087793,            0.081016,             0.50023,           0.0025425,          0.00092209,          0.00029037,            0.091353,            0.065695,             0.08082,            0.009736,            0.009736,            0.009736
                  10,            0.089535,            0.087138,            0.082266,          0.00012658,           0.0074475,          0.00018397,          6.2369e-05,            0.094631,            0.063437,            0.080679,            0.009703,            0.009703,            0.009703
                  11,             0.08807,            0.089008,            0.080447,           0.0033917,            0.015007,           0.0020879,          0.00086009,            0.087788,            0.069022,            0.079399,             0.00967,             0.00967,             0.00967
                  12,             0.08575,            0.089954,            0.079212,            0.002755,            0.034727,           0.0023915,          0.00087205,            0.085283,            0.064441,            0.078642,            0.009637,            0.009637,            0.009637
                  13,            0.083912,            0.090198,            0.078922,           0.0025481,            0.034819,           0.0019631,          0.00071314,            0.090582,            0.061668,            0.079838,            0.009604,            0.009604,            0.009604
                  14,            0.082878,            0.088612,            0.077811,           0.0032876,            0.059166,           0.0036947,           0.0013451,            0.082045,            0.064623,            0.077852,            0.009571,            0.009571,            0.009571
                  15,            0.081721,            0.089737,            0.077526,           0.0032979,            0.056584,           0.0028528,          0.00091944,            0.084795,            0.064015,            0.077603,            0.009538,            0.009538,            0.009538
                  16,            0.080564,            0.089125,            0.076342,           0.0039204,             0.07072,            0.004637,           0.0016238,             0.08025,            0.064821,            0.076631,            0.009505,            0.009505,            0.009505
                  17,            0.079295,            0.090159,            0.076601,           0.0034346,            0.091603,           0.0039302,            0.001503,            0.081867,            0.066216,            0.077554,            0.009472,            0.009472,            0.009472
                  18,            0.079164,            0.091399,            0.076023,           0.0042752,             0.10269,           0.0051908,           0.0017588,            0.081462,            0.063943,              0.0762,            0.009439,            0.009439,            0.009439
                  19,            0.077437,            0.087704,            0.074362,           0.0044711,             0.10149,           0.0066846,           0.0024737,             0.07853,            0.065476,            0.075282,            0.009406,            0.009406,            0.009406
                  20,            0.076882,            0.088464,            0.074831,           0.0041511,             0.13052,            0.006975,            0.002525,            0.077812,             0.06495,            0.075705,            0.009373,            0.009373,            0.009373
                  21,            0.075865,            0.089968,            0.074416,           0.0049005,             0.12207,           0.0080504,           0.0030142,            0.076992,            0.065016,            0.073792,             0.00934,             0.00934,             0.00934
                  22,            0.075544,            0.086017,            0.073969,             0.26498,            0.073955,           0.0085098,           0.0031093,            0.076907,             0.06593,            0.073256,            0.009307,            0.009307,            0.009307
                  23,            0.075059,            0.088538,            0.073228,             0.07022,            0.098849,           0.0081587,           0.0029875,            0.078449,             0.06416,            0.072861,            0.009274,            0.009274,            0.009274
                  24,            0.075275,            0.085793,            0.072524,             0.33774,            0.058373,            0.010304,           0.0039067,            0.075418,             0.06534,            0.072373,            0.009241,            0.009241,            0.009241
                  25,            0.073617,            0.089072,            0.071167,             0.51745,            0.031934,            0.011031,           0.0040672,            0.078021,            0.063504,            0.072052,            0.009208,            0.009208,            0.009208
                  26,            0.073586,            0.086543,            0.071123,             0.64398,            0.018885,            0.012963,           0.0050235,            0.074837,            0.063995,            0.070983,            0.009175,            0.009175,            0.009175
                  27,            0.073501,            0.086593,            0.070106,             0.62629,            0.024651,            0.012724,           0.0049055,            0.076839,            0.064661,            0.072369,            0.009142,            0.009142,            0.009142
                  28,            0.072799,            0.089298,            0.069941,           0.0074177,             0.14426,            0.013826,           0.0051964,             0.07505,            0.066641,            0.070773,            0.009109,            0.009109,            0.009109
                  29,            0.072758,            0.085554,            0.069715,             0.59442,            0.021426,            0.015049,            0.005718,            0.074559,            0.063972,            0.070207,            0.009076,            0.009076,            0.009076
                  30,            0.071875,            0.088169,            0.068382,              0.6094,            0.031484,            0.018133,            0.007244,            0.073701,            0.064791,            0.069301,            0.009043,            0.009043,            0.009043
                  31,            0.071868,            0.083161,            0.068312,             0.57248,            0.028435,            0.013919,           0.0050687,            0.074701,            0.065111,            0.070434,             0.00901,             0.00901,             0.00901
                  32,            0.071229,            0.084746,            0.068251,             0.52187,            0.037741,            0.018213,           0.0071139,            0.073326,            0.065554,            0.068925,            0.008977,            0.008977,            0.008977
                  33,            0.070121,            0.085952,            0.067728,             0.56407,            0.036798,            0.020453,           0.0081126,            0.073177,            0.063765,             0.06785,            0.008944,            0.008944,            0.008944
                  34,            0.070311,            0.084903,            0.067616,             0.55241,            0.038029,            0.020562,           0.0078904,            0.073245,            0.064483,            0.068299,            0.008911,            0.008911,            0.008911
                  35,            0.070554,            0.083566,            0.065714,             0.51072,            0.035377,            0.020408,           0.0078136,             0.07363,            0.063514,            0.067815,            0.008878,            0.008878,            0.008878
                  36,             0.06964,            0.082773,            0.065273,             0.49957,            0.040242,            0.021446,           0.0082844,            0.073028,            0.064297,            0.067636,            0.008845,            0.008845,            0.008845
                  37,            0.068981,            0.084305,            0.065245,             0.50517,            0.043703,            0.022224,           0.0085253,            0.073022,            0.063975,            0.067475,            0.008812,            0.008812,            0.008812
                  38,            0.069065,            0.085939,             0.06447,             0.56632,            0.048624,            0.026057,            0.010533,              0.0723,            0.063711,            0.066531,            0.008779,            0.008779,            0.008779
                  39,            0.068441,            0.082362,             0.06341,             0.48838,            0.051041,            0.025259,            0.010051,            0.072537,            0.063836,            0.066068,            0.008746,            0.008746,            0.008746
